threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.5005,0,0.0,0.9065,0.9065,0.9065
0.501,0,0.0,0.9065,0.9065,0.9065
0.5015,0,0.0,0.9065,0.9065,0.9065
0.502,0,0.0,0.9065,0.9065,0.9065
0.5025,0,0.0,0.9065,0.9065,0.9065
0.503,0,0.0,0.9065,0.9065,0.9065
0.5035,0,0.0,0.9065,0.9065,0.9065
0.504,0,0.0,0.9065,0.9065,0.9065
0.5045,0,0.0,0.9065,0.9065,0.9065
0.505,0,0.0,0.9065,0.9065,0.9065
0.5055,0,0.0,0.9065,0.9065,0.9065
0.506,0,0.0,0.9065,0.9065,0.9065
0.5065,0,0.0,0.9065,0.9065,0.9065
0.507,0,0.0,0.9065,0.9065,0.9065
0.5075,0,0.0,0.9065,0.9065,0.9065
0.508,0,0.0,0.9065,0.9065,0.9065
0.5085,0,0.0,0.9065,0.9065,0.9065
0.509,0,0.0,0.9065,0.9065,0.9065
0.5095,0,0.0,0.9065,0.9065,0.9065
0.51,0,0.0,0.9065,0.9065,0.9065
0.5105,0,0.0,0.9065,0.9065,0.9065
0.511,0,0.0,0.9065,0.9065,0.9065
0.5115,0,0.0,0.9065,0.9065,0.9065
0.512,0,0.0,0.9065,0.9065,0.9065
0.5125,0,0.0,0.9065,0.9065,0.9065
0.513,0,0.0,0.9065,0.9065,0.9065
0.5135,0,0.0,0.9065,0.9065,0.9065
0.514,0,0.0,0.9065,0.9065,0.9065
0.5145,0,0.0,0.9065,0.9065,0.9065
0.515,0,0.0,0.9065,0.9065,0.9065
0.5155,0,0.0,0.9065,0.9065,0.9065
0.516,0,0.0,0.9065,0.9065,0.9065
0.5165,0,0.0,0.9065,0.9065,0.9065
0.517,0,0.0,0.9065,0.9065,0.9065
0.5175,0,0.0,0.9065,0.9065,0.9065
0.518,0,0.0,0.9065,0.9065,0.9065
0.5185,0,0.0,0.9065,0.9065,0.9065
0.519,0,0.0,0.9065,0.9065,0.9065
0.5195,0,0.0,0.9065,0.9065,0.9065
0.52,0,0.0,0.9065,0.9065,0.9065
0.5205,0,0.0,0.9065,0.9065,0.9065
0.521,0,0.0,0.9065,0.9065,0.9065
0.5215,0,0.0,0.9065,0.9065,0.9065
0.522,0,0.0,0.9065,0.9065,0.9065
0.5225,0,0.0,0.9065,0.9065,0.9065
0.523,0,0.0,0.9065,0.9065,0.9065
0.5235,0,0.0,0.9065,0.9065,0.9065
0.524,0,0.0,0.9065,0.9065,0.9065
0.5245,0,0.0,0.9065,0.9065,0.9065
0.525,0,0.0,0.9065,0.9065,0.9065
0.5255,0,0.0,0.9065,0.9065,0.9065
0.526,0,0.0,0.9065,0.9065,0.9065
0.5265,0,0.0,0.9065,0.9065,0.9065
0.527,0,0.0,0.9065,0.9065,0.9065
0.5275,0,0.0,0.9065,0.9065,0.9065
0.528,0,0.0,0.9065,0.9065,0.9065
0.5285,0,0.0,0.9065,0.9065,0.9065
0.529,0,0.0,0.9065,0.9065,0.9065
0.5295,0,0.0,0.9065,0.9065,0.9065
0.53,0,0.0,0.9065,0.9065,0.9065
0.5305,0,0.0,0.9065,0.9065,0.9065
0.531,0,0.0,0.9065,0.9065,0.9065
0.5315,0,0.0,0.9065,0.9065,0.9065
0.532,0,0.0,0.9065,0.9065,0.9065
0.5325,0,0.0,0.9065,0.9065,0.9065
0.533,0,0.0,0.9065,0.9065,0.9065
0.5335,0,0.0,0.9065,0.9065,0.9065
0.534,0,0.0,0.9065,0.9065,0.9065
0.5345,0,0.0,0.9065,0.9065,0.9065
