threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.0,321,1.0,1.0,0.9,0.8
0.0005,321,1.0,1.0,0.9,0.8
0.001,321,1.0,1.0,0.9,0.8
0.0015,321,1.0,1.0,0.9,0.8
0.002,317,0.9875,1.0,0.9012,0.8025
0.0025,306,0.9533,1.0,0.9047,0.8093
0.003,296,0.9221,1.0,0.9078,0.8156
0.0035,285,0.8879,1.0,0.9112,0.8224
0.004,274,0.8536,1.0,0.9146,0.8293
0.0045,262,0.8162,1.0,0.9184,0.8368
0.005,256,0.7975,1.0,0.9202,0.8405
0.0055,245,0.7632,1.0,0.9237,0.8474
0.006,243,0.757,1.0,0.9243,0.8486
0.0065,234,0.729,1.0,0.9271,0.8542
0.007,222,0.6916,1.0,0.9308,0.8617
0.0075,219,0.6822,1.0,0.9318,0.8636
0.008,212,0.6604,1.0,0.934,0.8679
0.0085,212,0.6604,1.0,0.934,0.8679
0.009,209,0.6511,1.0,0.9349,0.8698
0.0095,202,0.6293,1.0,0.9371,0.8741
0.01,201,0.6262,1.0,0.9374,0.8748
0.0105,198,0.6168,1.0,0.9383,0.8766
0.011,197,0.6137,1.0,0.9386,0.8773
0.0115,191,0.595,1.0,0.9405,0.881
0.012,190,0.5919,1.0,0.9408,0.8816
0.0125,188,0.5857,1.0,0.9414,0.8829
0.013,186,0.5794,1.0,0.9421,0.8841
0.0135,186,0.5794,1.0,0.9421,0.8841
0.014,185,0.5763,1.0,0.9424,0.8847
0.0145,182,0.567,1.0,0.9433,0.8866
0.015,181,0.5639,1.0,0.9436,0.8872
0.0155,181,0.5639,1.0,0.9436,0.8872
0.016,180,0.5607,1.0,0.9439,0.8879
0.0165,179,0.5576,1.0,0.9442,0.8885
0.017,178,0.5545,1.0,0.9445,0.8891
0.0175,178,0.5545,1.0,0.9445,0.8891
0.018,176,0.5483,1.0,0.9452,0.8903
0.0185,174,0.5421,1.0,0.9458,0.8916
0.019,173,0.5389,1.0,0.9461,0.8922
0.0195,172,0.5358,1.0,0.9464,0.8928
0.02,172,0.5358,1.0,0.9464,0.8928
0.0205,172,0.5358,1.0,0.9464,0.8928
0.021,170,0.5296,0.9969,0.9439,0.891
0.0215,169,0.5265,0.9969,0.9442,0.8916
0.022,167,0.5202,0.9969,0.9449,0.8928
0.0225,167,0.5202,0.9969,0.9449,0.8928
0.023,167,0.5202,0.9969,0.9449,0.8928
0.0235,167,0.5202,0.9969,0.9449,0.8928
