threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%,macro_f1_human_100%
0.0,66,0.2056,0.972,0.9514,0.9308,0.9853
0.0005,42,0.1308,0.947,0.934,0.9209,0.9678
0.001,38,0.1184,0.9408,0.929,0.9171,0.965
0.0015,35,0.109,0.9377,0.9268,0.9159,0.9622
0.002,33,0.1028,0.9346,0.9243,0.914,0.961
0.0025,32,0.0997,0.9315,0.9215,0.9115,0.958
0.003,29,0.0903,0.9283,0.9193,0.9103,0.9568
0.0035,27,0.0841,0.9283,0.9199,0.9115,0.9568
0.004,27,0.0841,0.9283,0.9199,0.9115,0.9568
0.0045,26,0.081,0.9283,0.9202,0.9121,0.9568
0.005,26,0.081,0.9283,0.9202,0.9121,0.9568
0.0055,25,0.0779,0.9283,0.9206,0.9128,0.9568
0.006,25,0.0779,0.9283,0.9206,0.9128,0.9568
0.0065,25,0.0779,0.9283,0.9206,0.9128,0.9568
0.007,24,0.0748,0.9283,0.9209,0.9134,0.9568
0.0075,23,0.0717,0.9283,0.9212,0.914,0.9568
0.008,23,0.0717,0.9283,0.9212,0.914,0.9568
0.0085,23,0.0717,0.9283,0.9212,0.914,0.9568
0.009,23,0.0717,0.9283,0.9212,0.914,0.9568
0.0095,23,0.0717,0.9283,0.9212,0.914,0.9568
0.01,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.0105,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.011,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.0115,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.012,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.0125,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.013,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.0135,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.014,22,0.0685,0.9252,0.9184,0.9115,0.9556
0.0145,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.015,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.0155,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.016,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.0165,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.017,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.0175,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.018,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.0185,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.019,21,0.0654,0.9252,0.9187,0.9121,0.9556
0.0195,21,0.0654,0.9252,0.9187,0.9121,0.9556
